"id","alias","label","category","keywords","packages","params","description","include_in_shiny","functional","file"
"italian_village_bayes","9.3","Italian village  a la Bayes.","rdss","","rdss, rstanarm","summary_fn, N","Italian village design a la Bayes. (chapter 9).
",FALSE,TRUE,"italian_village_bayes.R"
"italian_village_continued","9.2","Italian village , continued","rdss","","","N, linear_hypothesis","Italian village design, continued (chapter 9).
",FALSE,TRUE,"italian_village_continued.R"
"latent_variables","15.6","latent variables","rdss","observational, descriptive","","N","Latent variable design (chapter 15).
",TRUE,TRUE,"latent_variables.R"
"lin_estimator","18.3","lin estimator","rdss","experiment, causal","","prob, control_slope, N","Lin estimator design. (chapter 18).
",TRUE,TRUE,"lin_estimator.R"
"linear_regression","13.1","Linear regression","rdss","","","N","Linear regression design (chapter 13).
",FALSE,TRUE,"linear_regression.R"
"list_experiment","17.3","list experiment","rdss","experiment, descriptive","","N","List experiment design. (chapter 17).
",TRUE,TRUE,"list_experiment.R"
"list_or_direct_questions","17.4","list or direct questions?","rdss","","dplyr","N, proportion_hiding","Comparing list experiments with direct questions. (chapter 17).
",TRUE,TRUE,"list_or_direct_questions.R"
"logit_probit_ols","11.5","Logit, probit, or OLS?","rdss","experiment, binary, logit, probit, margins","margins, broom","tidy_margins, N, b","Compare OLS, logit, and probit estimates of an ATE on a binary outcome. Marginal effects for GLM estimators use the margins package.
",TRUE,TRUE,"logit_probit_ols.R"
"matching","16.2","matching","rdss","observational, causal","MatchIt","exact_matching, N, ate","Matching design declaration. (chapter 16).
",TRUE,TRUE,"matching.R"
"mediation_analysis",NA,"Mediation analysis","template","experiment, causal, mediation","","N, a, b, c, d, rho","Two-arm trial with a binary mediator, declaring the first stage, the controlled direct effects, the natural direct effects, and the effect of the mediator on the outcome at each level of treatment as separate inquiries, and answering all of them with the usual regression of the outcome on the treatment interacted with the mediator. The design's use is to show when that answer strategy fails: the mediator is not randomly assigned, and rho governs how far the mediator's shock and the outcome's shock move together. At rho = 0 the mediator is unconfounded by construction and the regressions recover their targets. Raise rho and the estimates for every quantity defined through the mediator drift from their estimands while the first stage stays unbiased. Ported from DesignLibrary::mediation_analysis_designer.
",TRUE,TRUE,"mediation_analysis.R"
"multi_site_studies","19.4","multi-site studies","rdss","complex","metafor, rdss, dplyr, tidyr, broom","study_sizes, study_assignment_probabilities, study_intercepts, study_priors, study_coordination","Multi-site studies with and without coordination. (chapter 19).
",TRUE,TRUE,"multi_site_studies.R"
"multiarm_trial",NA,"Multi-arm trial","template","experiment, causal, multiarm","","N, m_arms, outcome_means, outcome_sds, conditions, sd_i, Y","Multi-arm experiment with equal assignment probabilities. The outcome is a function of the assigned arm: the arm mean plus a shared shock and optional per-arm noise. The per-arm noise is drawn when the outcome is measured, so a unit has no fixed potential outcome under an arm it was not assigned to, and the inquiries are population contrasts of arm means, outcome_means[k] - outcome_means[1], rather than sample average effects. Estimation is one lm_robust of Y on factor(Z). The number of arms is m_arms (default 3). outcome_means, outcome_sds, and conditions are length-m_arms vectors.
",TRUE,TRUE,"multiarm_trial.R"
"multilevel","15.4","multilevel","rdss","observational, descriptive","rdss, lme4, dplyr, tibble","states","Multilevel regression and poststratification design. (chapter 15).
",TRUE,TRUE,"multilevel.R"
"multilevel_answer_strategies","15.5","Redesign over answer strategies.","rdss","observational, descriptive","rdss, lme4, dplyr, tibble","states","Redesign over answer strategies. (chapter 15).
",FALSE,TRUE,"multilevel_answer_strategies.R"
"network_experiment","18.13","network experiment","rdss","experiment, causal","rdss, spdep, interference, tidyverse","adjacency, permutations, estimator_AS, controlled_direct_effect, controlled_indirect_effect, total_effect","Experiments over spatial networks design. (chapter 18).
",TRUE,TRUE,"network_experiment.R"
"pate_with_sampling","4.1","PATE with sampling","rdss","sampling, experiment, PATE","","N, n, b, prob","Sample from a population, then randomly assign treatment. Inquiry is the population average treatment effect (PATE).
",TRUE,TRUE,"pate_with_sampling.R"
"population_estimands","7.1","population estimands","rdss","","","N, n, superpopulation_mean","Super-population, population, and finite sample design (chapter 7).
",TRUE,TRUE,"population_estimands.R"
"pretest_posttest",NA,"Pretest-posttest design","template","experiment, causal, panel","","N, ate, sd_1, sd_2, rho, attrition_rate","Two-arm trial measuring the outcome before and after treatment, with attrition at the second measurement. Three answer strategies are compared: a change score, a posttest regression conditioning on the pretest, and a posttest-only difference in means. Flattened from DesignLibrary::pretest_posttest_designer.
",TRUE,TRUE,"pretest_posttest.R"
"process_tracing","16.1b","process tracing","rdss","observational, causal","rdss, CausalQueries","query, strategies","Process tracing design declaration (chapter 16).
",TRUE,TRUE,"process_tracing.R"
"random_forests","19.1","random forests","rdss","complex","dplyr, grf","f_Y, get_best_predictor, share_train, N, covariate_names","Random forests design (chapter 19) uses machine learning to study effect heterogeneity. The design targets individual level causal effects and identifies which variables are mostly commonly used to predict causal effects.
",TRUE,TRUE,"random_forests.R"
"randomization_inference","9.7","Randomization inference under the sharp null.","rdss","","rdss, ri2","block_m","Randomization inference under the sharp null. (chapter 9).
",FALSE,TRUE,"randomization_inference.R"
"randomized_response",NA,"Randomized response","template","experiment, descriptive, sensitive","","N, prob_forced_yes, prevalence_rate, withholding_rate","Forced randomized response for a sensitive trait. A coin decides whether a respondent answers truthfully or is forced to say yes, so the prevalence rate is recovered from the marginal share of yes answers. The direct question is estimated alongside it and is biased downward whenever holders of the trait withhold. Flattened from DesignLibrary::randomized_response_designer.
",TRUE,TRUE,"randomized_response.R"
"randomized_saturation","18.12","randomized saturation","rdss","experiment, causal","dplyr","N_groups, N_per_group, effect_Z, effect_S_low, effect_S_high","Randomized saturation design. (chapter 18).
",TRUE,TRUE,"randomized_saturation.R"
"regression_discontinuity","16.5","regression discontinuity","rdss","observational, causal","rdss, rdrobust","control, treatment, cutoff, N","Regression discontinuity design (chapter 16).
",FALSE,TRUE,"regression_discontinuity.R"
"regression_discontinuity_fuzzy","16.6","regression discontinuity fuzzy","rdss","observational, causal","rdss, rdrobust","cutoff, control, treatment, bandwidth, N","Regression discontinuity designs with varying bandwidths (chapter 16).
",TRUE,TRUE,"regression_discontinuity_fuzzy.R"
"simple_random_sampling","15.1","simple random sampling","rdss","observational, descriptive","","data, cuts, sample_size","Simple random sampling design (chapter 15).
",TRUE,TRUE,"simple_random_sampling.R"
"single_period_two_arm","18.11","Comparison single-period two arm trial","rdss","experiment, causal","","n_units, effect_size","Comparison single-period two arm trial design. (chapter 18).
",FALSE,TRUE,"single_period_two_arm.R"
"stepped_wedge","18.10","stepped-wedge","rdss","experiment, causal","dplyr","effect_size","Stepped-wedge design. (chapter 18).
",TRUE,TRUE,"stepped_wedge.R"
"structural_estimation","19.2","structural estimation","rdss","complex","bbmle","offer, likelihood, n, delta, kappa, alpha, N","Structural estimation declaration. (chapter 19). The design shows how to use maximum likelihood techniques to estimate parameters of a formal model from data.
",TRUE,TRUE,"structural_estimation.R"
"subgroup_effects","18.6","subgroup effects","rdss","experiment, causal","","data, total_n, n_x1","Subgroup design declaration. (chapter 18).
",TRUE,TRUE,"subgroup_effects.R"
"survey_nonresponse","15.2","survey nonresponse","rdss","observational, descriptive, sampling","dplyr","data, effort","Survey nonresponse design. (chapter 15).
",TRUE,TRUE,"survey_nonresponse.R"
"three_arm",NA,"Three-arm trial","template","experiment, causal, three-arm","","N, outcome_means, sd_i, prob_each","Three-arm experiment with modifiable assignment probabilities. 
",TRUE,TRUE,"three_arm_trial.R"
"trust_game","17.6","trust game","rdss","experiment, descriptive","","invested, average_invested, returned, average_returned, n_pairs, deceive","Trust game design. (chapter 17).
",TRUE,TRUE,"trust_game.R"
"two_arm_attrition",NA,"Two-arm trial with attrition","template","experiment, causal, attrition","","N, a_R, b_R, a_Y, b_Y, rho","Two-arm trial in which the outcome is observed only for units that report. Treatment can move reporting as well as the outcome, so the design contrasts the effect on reporting, the effect on the outcome among reporters, and the effect on the outcome had it been observed for everyone. Flattened from DesignLibrary::two_arm_attrition_designer.
",TRUE,TRUE,"two_arm_attrition.R"
"two_arm_flexible",NA,"Flexible two-arm trial (library)","template","experiment, two-arm","","N, assignment_prob, control_mean, control_sd, ate, treatment_sd, rho","One-level two-arm trial with complete random assignment. Potential outcomes are jointly normal, with correlation rho between the control and treatment shocks. Argument names match DesignLibrary::two_arm_designer; ate is the difference in means, so the treatment mean is control_mean + ate.
",TRUE,TRUE,"two_arm_flexible.R"
"two_arm_bare_bones","11.3","Bare-bones two-arm trial","rdss","","","N, prob","Bare-bones two-arm trial (chapter 11).
",FALSE,TRUE,"two_arm_rdss_11.3.R"
"two_arm_rdss_2","13.2","Declaration of two-arm randomized experiment","rdss","","","N","Declaration of two-arm randomized experiment (chapter 13).
",FALSE,TRUE,"two_arm_rdss_13.2.R"
"two_arm_trial_rdss","18.1","two-arm trial","rdss","experiment, causal","","N, b","Canonical two-arm trial design. (chapter 18).
",FALSE,TRUE,"two_arm_rdss_18.1.R"
"two_arm_rdss_1","2.1","Two-arm trial from RDSS with sampling","rdss","experiment, two-arm, introduction","","N, b, n","Two-arm trial design from RDSS chapter 2. Illustrates MIDA with a simple sampling and complete random assignment step.
",TRUE,TRUE,"two_arm_rdss_2.1.R"
"two_arm_simple",NA,"Simple two-arm trial","template","experiment, two-arm","","N, b","Simple two-arm trial with complete random assignment and a population average treatment effect.
",TRUE,TRUE,"two_arm_simple.R"
"two_arm_with_blocks",NA,"Two-arm trial with blocks","template","experiment, two-arm, blocking","","k, block_size, b","Simple two arm design with block randomization
",TRUE,TRUE,"two_arm_with_blocks.R"
"two_arm_with_blocks_rdss","2.2","Two-arm trial with blocks from RDSS","rdss","experiment, two-arm, blocking, introduction","","b, N","Chapter 2 design that uses background information (history) for blocked assignment and a blocked difference-in-means estimator.
",TRUE,TRUE,"two_arm_with_blocks_rdss.R"
"two_by_two",NA,"2x2 factorial (library)","template","experiment, causal, factorial","","N, prob_A, prob_B, weight_A, weight_B, outcome_means, sd_i, outcome_sds","Two-by-two factorial with independent assignment of A then B within blocks of A. Cell means are the vector outcome_means in order AB = 00, 01, 10, 11. Inquiries are the weighted average effect of each factor and the interaction. Argument names match DesignLibrary::two_by_two_designer.
",TRUE,TRUE,"two_by_two.R"
"two_outcome_model_a","10.3a","Two-outcome model A","rdss","","","n","10.3 (chapter 10).
",FALSE,TRUE,"two_outcome_model_a.R"
"two_outcome_model_b","10.3b","Two-outcome model B","rdss","","","N","10.3 (chapter 10).
",FALSE,TRUE,"two_outcome_model_b.R"
"uncertainty_over_effect_size","11.2","uncertainty over effect size","rdss","","","N","Uncertainty over effect size design. (chapter 11).
",TRUE,TRUE,"uncertainty_over_effect_size.R"
"village_campaign","12.1a","village campaign","rdss","","","n_villages, citizens_per_village, se_type","12.1a (chapter 12).
",FALSE,TRUE,"village_campaign.R"
